key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.5606,space,0.9224,space,0.7551,p,5.8701,0,0,0,0,1,0,images/pixabay_cat_002300.jpg,images/pixabay_cat_002930.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.0134,0,1,1,1,1,1,images/pixabay_cat_000043.jpg,images/pixabay_cat_003927.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,1.3077,0,2,2,2,1,2,images/pixabay_cat_003077.jpg,images/pixabay_cat_003638.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.8444,0,3,3,3,1,3,images/pixabay_cat_003927.jpg,images/pixabay_cat_003121.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.9564,0,4,4,4,1,4,images/pixabay_cat_004292.jpg,images/pixabay_cat_001597.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.6954,0,5,5,5,1,5,images/pixabay_cat_004292.jpg,images/pixabay_cat_003186.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.9123,0,6,6,6,1,6,images/pixabay_cat_001178.jpg,images/pixabay_cat_002930.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,1.0572,0,7,7,7,1,7,images/pixabay_cat_003228.jpg,images/pixabay_cat_001862.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,3.8614,0,8,8,8,1,8,images/pixabay_cat_002601.jpg,images/pixabay_cat_004182.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.8234,0,9,9,9,1,9,images/pixabay_cat_000043.jpg,images/pixabay_cat_004049.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.3102,0,10,10,10,1,10,images/pixabay_cat_003425.jpg,images/pixabay_cat_002690.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,2.5605,0,11,11,11,1,11,images/pixabay_cat_003927.jpg,images/pixabay_cat_003638.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.2128,0,12,12,12,1,12,images/pixabay_cat_001597.jpg,images/pixabay_cat_001206.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,3.3099,0,13,13,13,1,13,images/pixabay_cat_004049.jpg,images/pixabay_cat_002300.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.8465,0,14,14,14,1,14,images/pixabay_cat_004049.jpg,images/pixabay_cat_003312.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.1926,0,15,15,15,1,15,images/pixabay_cat_000411.jpg,images/pixabay_cat_003566.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.7955,0,16,16,16,1,16,images/pixabay_cat_000411.jpg,images/pixabay_cat_002614.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.7435,0,17,17,17,1,17,images/pixabay_cat_004049.jpg,images/flickr_cat_000083.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.8174,0,18,18,18,1,18,images/pixabay_cat_003425.jpg,images/pixabay_cat_003566.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.1101,0,19,19,19,1,19,images/flickr_cat_000022.jpg,images/pixabay_cat_004489.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.2985,0,20,20,20,1,20,images/pixabay_cat_000260.jpg,images/flickr_cat_000083.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.7068,0,21,21,21,1,21,images/flickr_cat_000581.jpg,images/pixabay_cat_002601.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.6829,0,22,22,22,1,22,images/pixabay_cat_003425.jpg,images/pixabay_cat_002601.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.811,0,23,23,23,1,23,images/pixabay_cat_003566.jpg,images/flickr_cat_000022.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,1.1757,0,24,24,24,1,24,images/pixabay_cat_003186.jpg,images/pixabay_cat_000286.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.8626,0,25,25,25,1,25,images/pixabay_cat_003635.jpg,images/pixabay_cat_002979.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.8911,0,26,26,26,1,26,images/flickr_cat_000083.jpg,images/pixabay_cat_004148.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.8592,0,27,27,27,1,27,images/pixabay_cat_003228.jpg,images/pixabay_cat_001160.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.7592,0,28,28,28,1,28,images/pixabay_cat_000120.jpg,images/pixabay_cat_001178.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.7956,0,29,29,29,1,29,images/flickr_cat_000266.jpg,images/pixabay_cat_000100.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.6991,0,30,30,30,1,30,images/pixabay_cat_000120.jpg,images/pixabay_cat_002614.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.725,0,31,31,31,1,31,images/pixabay_cat_002930.jpg,images/pixabay_cat_000100.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.9745,0,32,32,32,1,32,images/flickr_cat_000240.jpg,images/pixabay_cat_001206.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.9305,0,33,33,33,1,33,images/flickr_cat_000271.jpg,images/pixabay_cat_004182.jpg,Chenxi Liao,001,2021-06-21_15h43.39.294,Cat face experiment_fully sample_901-1225,2021.1.4,MacIntel,59.99520038
