key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.1862,space,0.7345,space,0.4711,p,1.5485,0,0,0,0,1,0,images/flickr_cat_000206.jpg,images/pixabay_cat_003312.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,2.611,0,1,1,1,1,1,images/pixabay_cat_000120.jpg,images/pixabay_cat_003312.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,0.8762,0,2,2,2,1,2,images/pixabay_cat_000120.jpg,images/flickr_cat_000083.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,2.9591,0,3,3,3,1,3,images/flickr_cat_000581.jpg,images/pixabay_cat_000043.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,1.5626,0,4,4,4,1,4,images/pixabay_cat_003425.jpg,images/pixabay_cat_001597.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,3.4997,0,5,5,5,1,5,images/pixabay_cat_001265.jpg,images/pixabay_cat_003638.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,1.1232,0,6,6,6,1,6,images/pixabay_cat_003186.jpg,images/pixabay_cat_003312.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,2.3577,0,7,7,7,1,7,images/pixabay_cat_004292.jpg,images/flickr_cat_000200.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,0.8074,0,8,8,8,1,8,images/pixabay_cat_001597.jpg,images/pixabay_cat_000883.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,0.7407,0,9,9,9,1,9,images/pixabay_cat_002690.jpg,images/pixabay_cat_001206.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,1.1115,0,10,10,10,1,10,images/flickr_cat_000581.jpg,images/pixabay_cat_001805.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,1.2974,0,11,11,11,1,11,images/pixabay_cat_001284.jpg,images/pixabay_cat_001178.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,1.3138,0,12,12,12,1,12,images/pixabay_cat_003186.jpg,images/pixabay_cat_002300.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,1.6331,0,13,13,13,1,13,images/pixabay_cat_001102.jpg,images/pixabay_cat_003186.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,q,1.3321,0,14,14,14,1,14,images/flickr_cat_000206.jpg,images/pixabay_cat_000100.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,1.8633,0,15,15,15,1,15,images/pixabay_cat_001597.jpg,images/pixabay_cat_001805.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
,,,,,,p,1.3278,0,16,16,16,1,16,images/pixabay_cat_002300.jpg,images/flickr_cat_000200.jpg,Eddy,001,2021-06-13_10h59.02.429,Cat face experiment_fully sample_301-600,2021.1.4,Win32,142.612664
