key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.1912,space,0.414,space,0.4054,p,2.3052,0,0,0,0,1,0,images/pixabay_cat_002300.jpg,images/pixabay_cat_002930.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7982,0,1,1,1,1,1,images/pixabay_cat_000043.jpg,images/pixabay_cat_003927.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6515,0,2,2,2,1,2,images/pixabay_cat_003077.jpg,images/pixabay_cat_003638.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.684,0,3,3,3,1,3,images/pixabay_cat_003927.jpg,images/pixabay_cat_003121.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7024,0,4,4,4,1,4,images/pixabay_cat_004292.jpg,images/pixabay_cat_001597.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.6169,0,5,5,5,1,5,images/pixabay_cat_004292.jpg,images/pixabay_cat_003186.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6455,0,6,6,6,1,6,images/pixabay_cat_001178.jpg,images/pixabay_cat_002930.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6499,0,7,7,7,1,7,images/pixabay_cat_003228.jpg,images/pixabay_cat_001862.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.767,0,8,8,8,1,8,images/pixabay_cat_002601.jpg,images/pixabay_cat_004182.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.6214,0,9,9,9,1,9,images/pixabay_cat_000043.jpg,images/pixabay_cat_004049.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7417,0,10,10,10,1,10,images/pixabay_cat_003425.jpg,images/pixabay_cat_002690.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7605,0,11,11,11,1,11,images/pixabay_cat_003927.jpg,images/pixabay_cat_003638.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.6994,0,12,12,12,1,12,images/pixabay_cat_001597.jpg,images/pixabay_cat_001206.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6026,0,13,13,13,1,13,images/pixabay_cat_004049.jpg,images/pixabay_cat_002300.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.5586,0,14,14,14,1,14,images/pixabay_cat_004049.jpg,images/pixabay_cat_003312.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.663,0,15,15,15,1,15,images/pixabay_cat_000411.jpg,images/pixabay_cat_003566.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6018,0,16,16,16,1,16,images/pixabay_cat_000411.jpg,images/pixabay_cat_002614.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.671,0,17,17,17,1,17,images/pixabay_cat_004049.jpg,images/flickr_cat_000083.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.5935,0,18,18,18,1,18,images/pixabay_cat_003425.jpg,images/pixabay_cat_003566.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6971,0,19,19,19,1,19,images/flickr_cat_000022.jpg,images/pixabay_cat_004489.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7498,0,20,20,20,1,20,images/pixabay_cat_000260.jpg,images/flickr_cat_000083.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7666,0,21,21,21,1,21,images/flickr_cat_000581.jpg,images/pixabay_cat_002601.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.5089,0,22,22,22,1,22,images/pixabay_cat_003425.jpg,images/pixabay_cat_002601.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7668,0,23,23,23,1,23,images/pixabay_cat_003566.jpg,images/flickr_cat_000022.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6666,0,24,24,24,1,24,images/pixabay_cat_003186.jpg,images/pixabay_cat_000286.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6703,0,25,25,25,1,25,images/pixabay_cat_003635.jpg,images/pixabay_cat_002979.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7065,0,26,26,26,1,26,images/flickr_cat_000083.jpg,images/pixabay_cat_004148.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6943,0,27,27,27,1,27,images/pixabay_cat_003228.jpg,images/pixabay_cat_001160.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,1.1408,0,28,28,28,1,28,images/pixabay_cat_000120.jpg,images/pixabay_cat_001178.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6275,0,29,29,29,1,29,images/flickr_cat_000266.jpg,images/pixabay_cat_000100.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7803,0,30,30,30,1,30,images/pixabay_cat_000120.jpg,images/pixabay_cat_002614.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7162,0,31,31,31,1,31,images/pixabay_cat_002930.jpg,images/pixabay_cat_000100.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6209,0,32,32,32,1,32,images/flickr_cat_000240.jpg,images/pixabay_cat_001206.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7066,0,33,33,33,1,33,images/flickr_cat_000271.jpg,images/pixabay_cat_004182.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.8093,0,34,34,34,1,34,images/flickr_cat_000581.jpg,images/pixabay_cat_003566.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.6463,0,35,35,35,1,35,images/pixabay_cat_002045.jpg,images/pixabay_cat_003312.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6515,0,36,36,36,1,36,images/pixabay_cat_001265.jpg,images/pixabay_cat_000120.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6393,0,37,37,37,1,37,images/pixabay_cat_001502.jpg,images/pixabay_cat_002045.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7736,0,38,38,38,1,38,images/pixabay_cat_003635.jpg,images/pixabay_cat_001597.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.6789,0,39,39,39,1,39,images/pixabay_cat_003186.jpg,images/pixabay_cat_001597.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7795,0,40,40,40,1,40,images/pixabay_cat_001502.jpg,images/flickr_cat_000271.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.6997,0,41,41,41,1,41,images/pixabay_cat_001206.jpg,images/pixabay_cat_000100.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7517,0,42,42,42,1,42,images/flickr_cat_000581.jpg,images/flickr_cat_000206.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.9839,0,43,43,43,1,43,images/pixabay_cat_001502.jpg,images/flickr_cat_000240.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.8014,0,44,44,44,1,44,images/pixabay_cat_001102.jpg,images/pixabay_cat_004148.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7204,0,45,45,45,1,45,images/pixabay_cat_003077.jpg,images/pixabay_cat_004489.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7723,0,46,46,46,1,46,images/pixabay_cat_004489.jpg,images/pixabay_cat_003638.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.8397,0,47,47,47,1,47,images/pixabay_cat_003635.jpg,images/flickr_cat_000022.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.8734,0,48,48,48,1,48,images/pixabay_cat_000260.jpg,images/pixabay_cat_003425.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7595,0,49,49,49,1,49,images/pixabay_cat_002614.jpg,images/pixabay_cat_001206.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.762,0,50,50,50,1,50,images/pixabay_cat_003927.jpg,images/pixabay_cat_000883.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,1.3216,0,51,51,51,1,51,images/flickr_cat_000206.jpg,images/flickr_cat_000271.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.8384,0,52,52,52,1,52,images/pixabay_cat_000120.jpg,images/pixabay_cat_001862.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.7835,0,53,53,53,1,53,images/pixabay_cat_004049.jpg,images/pixabay_cat_000100.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.8569,0,54,54,54,1,54,images/pixabay_cat_001102.jpg,images/pixabay_cat_002614.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.9892,0,55,55,55,1,55,images/pixabay_cat_004292.jpg,images/pixabay_cat_000100.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,1.1509,0,56,56,56,1,56,images/pixabay_cat_000411.jpg,images/pixabay_cat_004641.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.9167,0,57,57,57,1,57,images/flickr_cat_000022.jpg,images/pixabay_cat_001284.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7351,0,58,58,58,1,58,images/pixabay_cat_003077.jpg,images/pixabay_cat_001862.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,1.2775,0,59,59,59,1,59,images/pixabay_cat_000411.jpg,images/pixabay_cat_002690.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,1.1241,0,60,60,60,1,60,images/flickr_cat_000083.jpg,images/pixabay_cat_002614.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7918,0,61,61,61,1,61,images/pixabay_cat_002045.jpg,images/flickr_cat_000285.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.8911,0,62,62,62,1,62,images/pixabay_cat_000411.jpg,images/pixabay_cat_000883.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,p,0.7939,0,63,63,63,1,63,images/pixabay_cat_001805.jpg,images/flickr_cat_000200.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
,,,,,,q,0.8281,0,64,64,64,1,64,images/flickr_cat_000581.jpg,images/flickr_cat_000022.jpg,Jesse,001,2021-07-19_16h02.09.851,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,60.08171113
