key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.9743,space,1.3165,space,2.7824,q,3.3831,0,0,0,0,1,0,images/pixabay_cat_004641.jpg,images/pixabay_cat_003927.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,2.4194,0,1,1,1,1,1,images/pixabay_cat_003186.jpg,images/pixabay_cat_000100.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.2076,0,2,2,2,1,2,images/pixabay_cat_003566.jpg,images/flickr_cat_000200.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,0.8776,0,3,3,3,1,3,images/pixabay_cat_000043.jpg,images/pixabay_cat_002690.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.088,0,4,4,4,1,4,images/flickr_cat_000022.jpg,images/pixabay_cat_004049.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.4964,0,5,5,5,1,5,images/pixabay_cat_002690.jpg,images/pixabay_cat_003312.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,p,2.7101,0,6,6,6,1,6,images/pixabay_cat_002601.jpg,images/flickr_cat_000083.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.433,0,7,7,7,1,7,images/pixabay_cat_001597.jpg,images/flickr_cat_000271.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,p,0.8307,0,8,8,8,1,8,images/pixabay_cat_000100.jpg,images/pixabay_cat_000286.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.3943,0,9,9,9,1,9,images/flickr_cat_000581.jpg,images/pixabay_cat_004182.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,4.5716,0,10,10,10,1,10,images/pixabay_cat_003228.jpg,images/flickr_cat_000271.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.2568,0,11,11,11,1,11,images/pixabay_cat_002045.jpg,images/flickr_cat_000271.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.1821,0,12,12,12,1,12,images/pixabay_cat_000411.jpg,images/pixabay_cat_003077.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.1521,0,13,13,13,1,13,images/pixabay_cat_002690.jpg,images/pixabay_cat_001304.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
,,,,,,p,4.4025,0,14,14,14,1,14,images/pixabay_cat_001597.jpg,images/flickr_cat_000083.jpg,Jessica U,001,2021-06-23_12h24.25.021,Cat face experiment_fully sample_601-900,2021.1.4,MacIntel,60.0024001
