key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,663.38703,space,1.491515,space,0.66275,p,3.16867,0,0,0,0,1,0,images/pixabay_cat_002300.jpg,images/pixabay_cat_002930.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,q,0.86943,0,1,1,1,1,1,images/pixabay_cat_000043.jpg,images/pixabay_cat_003927.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,q,1.225185,0,2,2,2,1,2,images/pixabay_cat_003077.jpg,images/pixabay_cat_003638.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,1.711495,0,3,3,3,1,3,images/pixabay_cat_003927.jpg,images/pixabay_cat_003121.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,0.956375,0,4,4,4,1,4,images/pixabay_cat_004292.jpg,images/pixabay_cat_001597.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,q,1.393865,0,5,5,5,1,5,images/pixabay_cat_004292.jpg,images/pixabay_cat_003186.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,0.987575,0,6,6,6,1,6,images/pixabay_cat_001178.jpg,images/pixabay_cat_002930.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,1.61015,0,7,7,7,1,7,images/pixabay_cat_003228.jpg,images/pixabay_cat_001862.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,0.93175,0,8,8,8,1,8,images/pixabay_cat_002601.jpg,images/pixabay_cat_004182.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,q,0.833515,0,9,9,9,1,9,images/pixabay_cat_000043.jpg,images/pixabay_cat_004049.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,1.617455,0,10,10,10,1,10,images/pixabay_cat_003425.jpg,images/pixabay_cat_002690.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,p,1.186455,0,11,11,11,1,11,images/pixabay_cat_003927.jpg,images/pixabay_cat_003638.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
,,,,,,q,1.4857,0,12,12,12,1,12,images/pixabay_cat_001597.jpg,images/pixabay_cat_001206.jpg,Whitney,001,2021-06-22_09h47.07.365,Cat face experiment_fully sample_901-1225,2021.1.4,Win32,59.95203837
