key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.36,space,0.5683,space,0.6089,p,2.2451,0,0,0,0,1,0,images/pixabay_dog_002268.jpg,images/pixabay_dog_003859.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,p,1.1612,0,1,1,1,1,1,images/pixabay_dog_000744.jpg,images/pixabay_dog_003859.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.9964,0,2,2,2,1,2,images/pixabay_dog_000744.jpg,images/pixabay_dog_002282.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.7104,0,3,3,3,1,3,images/pixabay_dog_000853.jpg,images/pixabay_dog_002793.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,p,1.124,0,4,4,4,1,4,images/pixabay_dog_002793.jpg,images/flickr_dog_000194.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.7392,0,5,5,5,1,5,images/pixabay_dog_001712.jpg,images/pixabay_dog_002596.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.8466,0,6,6,6,1,6,images/pixabay_dog_002861.jpg,images/pixabay_dog_001465.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,q,0.0077,0,7,7,7,1,7,images/pixabay_dog_000042.jpg,images/flickr_dog_000266.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,q,1.0121,0,8,8,8,1,8,images/pixabay_dog_003238.jpg,images/pixabay_dog_001960.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
,,,,,,p,0.6104,0,9,9,9,1,9,images/pixabay_dog_001255.jpg,images/flickr_dog_000194.jpg,Chenxi Liao,001,2021-06-21_16h05.02.374,Dog face experiment_fully sample_601-900,2021.1.4,MacIntel,59.99520038
