key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.8008,space,0.2701,space,0.3471,q,2.5739,0,0,0,0,1,0,images/pixabay_dog_002861.jpg,images/pixabay_dog_000932.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,q,0.872,0,1,1,1,1,1,images/pixabay_dog_003310.jpg,images/pixabay_dog_003829.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,q,0.9562,0,2,2,2,1,2,images/flickr_dog_000019.jpg,images/pixabay_dog_001465.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,p,0.8335,0,3,3,3,1,3,images/pixabay_dog_000042.jpg,images/pixabay_dog_002282.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,q,0.8938,0,4,4,4,1,4,images/flickr_dog_000019.jpg,images/pixabay_dog_001960.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,p,1.4833,0,5,5,5,1,5,images/flickr_dog_000932.jpg,images/flickr_dog_000201.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,p,0.7205,0,6,6,6,1,6,images/pixabay_dog_002744.jpg,images/pixabay_dog_003310.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,p,0.7951,0,7,7,7,1,7,images/pixabay_dog_000744.jpg,images/flickr_dog_000194.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,q,1.0614,0,8,8,8,1,8,images/pixabay_dog_001150.jpg,images/flickr_dog_000279.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
,,,,,,q,1.0656,0,9,9,9,1,9,images/pixabay_dog_002649.jpg,images/pixabay_dog_000932.jpg,Eddy,001,2021-08-04_10h38.57.423,Dog face experiment_fully sample_301-600,2021.1.4,Win32,143.5132032
