key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.7878,space,0.8119,space,0.4814,q,3.5404,0,0,0,0,1,0,images/pixabay_dog_003305.jpg,images/pixabay_dog_000825.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,1.8267,0,1,1,1,1,1,images/pixabay_dog_002268.jpg,images/pixabay_dog_003357.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,q,1.0214,0,2,2,2,1,2,images/flickr_dog_001079.jpg,images/pixabay_dog_002744.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,1.0391,0,3,3,3,1,3,images/flickr_dog_001079.jpg,images/pixabay_dog_003357.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,1.6794,0,4,4,4,1,4,images/flickr_dog_001079.jpg,images/flickr_dog_000083.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,0.8385,0,5,5,5,1,5,images/flickr_dog_000019.jpg,images/flickr_dog_000279.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,q,1.387,0,6,6,6,1,6,images/pixabay_dog_002861.jpg,images/flickr_dog_000913.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,0.7886,0,7,7,7,1,7,images/flickr_dog_001079.jpg,images/pixabay_dog_002989.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,q,1.0202,0,8,8,8,1,8,images/flickr_dog_000861.jpg,images/flickr_dog_000194.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,q,1.4082,0,9,9,9,1,9,images/flickr_dog_000266.jpg,images/pixabay_dog_003357.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,1.3558,0,10,10,10,1,10,images/pixabay_dog_003727.jpg,images/flickr_dog_000913.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,0.9087,0,11,11,11,1,11,images/pixabay_dog_001465.jpg,images/pixabay_dog_003357.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,1.2216,0,12,12,12,1,12,images/pixabay_dog_002649.jpg,images/flickr_dog_001107.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,q,0.8874,0,13,13,13,1,13,images/pixabay_dog_003727.jpg,images/pixabay_dog_000853.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,p,0.8556,0,14,14,14,1,14,images/pixabay_dog_000042.jpg,images/flickr_dog_000566.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
,,,,,,q,0.8419,0,15,15,15,1,15,images/flickr_dog_000566.jpg,images/pixabay_dog_001465.jpg,Yun-Jen Tsai,001,2021-08-03_21h06.24.338,Dog face experiment_fully sample_901-1225,2021.1.4,Win32,58.87201225
