key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.47,space,0.5183,space,0.9144,q,2.6525,0,0,0,0,1,0,images/flickr_cat_000563.jpg,images/pixabay_cat_000023.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,1.4393,0,1,1,1,1,1,images/flickr_cat_000564.jpg,images/pixabay_cat_000024.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,p,0.7776,0,2,2,2,1,2,images/flickr_cat_000565.jpg,images/pixabay_cat_000025.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,0.8464,0,3,3,3,1,3,images/flickr_cat_000566.jpg,images/pixabay_cat_000026.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,1.3055,0,4,4,4,1,4,images/flickr_cat_000567.jpg,images/pixabay_cat_000027.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,1.2975,0,5,5,5,1,5,images/flickr_cat_000568.jpg,images/pixabay_cat_000028.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,p,0.8727,0,6,6,6,1,6,images/flickr_cat_000569.jpg,images/pixabay_cat_000029.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,0.8218,0,7,7,7,1,7,images/flickr_cat_000571.jpg,images/pixabay_cat_000030.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,p,0.7503,0,8,8,8,1,8,images/flickr_cat_000572.jpg,images/pixabay_cat_000031.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,0.9087,0,9,9,9,1,9,images/flickr_cat_000573.jpg,images/pixabay_cat_000032.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,p,0.7433,0,10,10,10,1,10,images/flickr_cat_000574.jpg,images/pixabay_cat_000033.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,q,1.0831,0,11,11,11,1,11,images/flickr_cat_000576.jpg,images/pixabay_cat_000034.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
,,,,,,p,1.0083,0,12,12,12,1,12,images/flickr_cat_000577.jpg,images/pixabay_cat_000035.jpg,Eddy2,001,2021-08-23_11h45.14.931,Cat face experiment_250-499,2021.1.4,Win32,146.6705779
