key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.902535,space,2.9116,space,3.1743,p,3.329765,0,0,0,0,1,0,images/flickr_cat_000002.jpg,images/flickr_cat_000285.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.615015,0,1,1,1,1,1,images/flickr_cat_000003.jpg,images/flickr_cat_000286.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.89501,0,2,2,2,1,2,images/flickr_cat_000004.jpg,images/flickr_cat_000288.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,2.352085,0,3,3,3,1,3,images/flickr_cat_000005.jpg,images/flickr_cat_000289.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.737375,0,4,4,4,1,4,images/flickr_cat_000006.jpg,images/flickr_cat_000290.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,2.520155,0,5,5,5,1,5,images/flickr_cat_000007.jpg,images/flickr_cat_000291.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.07722,0,6,6,6,1,6,images/flickr_cat_000009.jpg,images/flickr_cat_000293.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.61437,0,7,7,7,1,7,images/flickr_cat_000010.jpg,images/flickr_cat_000294.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.944455,0,8,8,8,1,8,images/flickr_cat_000012.jpg,images/flickr_cat_000295.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.20311,0,9,9,9,1,9,images/flickr_cat_000013.jpg,images/flickr_cat_000296.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.346335,0,10,10,10,1,10,images/flickr_cat_000014.jpg,images/flickr_cat_000297.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.36815,0,11,11,11,1,11,images/flickr_cat_000015.jpg,images/flickr_cat_000298.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.227575,0,12,12,12,1,12,images/flickr_cat_000017.jpg,images/flickr_cat_000299.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.11939,0,13,13,13,1,13,images/flickr_cat_000018.jpg,images/flickr_cat_000300.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.751885,0,14,14,14,1,14,images/flickr_cat_000019.jpg,images/flickr_cat_000301.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.344075,0,15,15,15,1,15,images/flickr_cat_000020.jpg,images/flickr_cat_000302.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.485595,0,16,16,16,1,16,images/flickr_cat_000021.jpg,images/flickr_cat_000303.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.367985,0,17,17,17,1,17,images/flickr_cat_000022.jpg,images/flickr_cat_000304.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,2.267055,0,18,18,18,1,18,images/flickr_cat_000023.jpg,images/flickr_cat_000305.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,12.605605,0,19,19,19,1,19,images/flickr_cat_000024.jpg,images/flickr_cat_000306.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.031265,0,20,20,20,1,20,images/flickr_cat_000025.jpg,images/flickr_cat_000307.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.41953,0,21,21,21,1,21,images/flickr_cat_000026.jpg,images/flickr_cat_000308.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.936515,0,22,22,22,1,22,images/flickr_cat_000027.jpg,images/flickr_cat_000309.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.448265,0,23,23,23,1,23,images/flickr_cat_000028.jpg,images/flickr_cat_000310.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.975125,0,24,24,24,1,24,images/flickr_cat_000029.jpg,images/flickr_cat_000312.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.220725,0,25,25,25,1,25,images/flickr_cat_000030.jpg,images/flickr_cat_000313.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.41246,0,26,26,26,1,26,images/flickr_cat_000031.jpg,images/flickr_cat_000315.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.001905,0,27,27,27,1,27,images/flickr_cat_000032.jpg,images/flickr_cat_000316.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.41475,0,28,28,28,1,28,images/flickr_cat_000033.jpg,images/flickr_cat_000317.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.06939,0,29,29,29,1,29,images/flickr_cat_000034.jpg,images/flickr_cat_000318.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.39675,0,30,30,30,1,30,images/flickr_cat_000035.jpg,images/flickr_cat_000319.jpg,Jesse,001,2021-06-04_13h47.30.601,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
