key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.57402,space,1.13418,space,4.328825,p,2.434325,0,0,0,0,1,0,images/flickr_cat_000002.jpg,images/flickr_cat_000285.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,2.15449,0,1,1,1,1,1,images/flickr_cat_000003.jpg,images/flickr_cat_000286.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.425705,0,2,2,2,1,2,images/flickr_cat_000004.jpg,images/flickr_cat_000288.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.193995,0,3,3,3,1,3,images/flickr_cat_000005.jpg,images/flickr_cat_000289.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,2.144485,0,4,4,4,1,4,images/flickr_cat_000006.jpg,images/flickr_cat_000290.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,3.20977,0,5,5,5,1,5,images/flickr_cat_000007.jpg,images/flickr_cat_000291.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.763375,0,6,6,6,1,6,images/flickr_cat_000009.jpg,images/flickr_cat_000293.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.66195,0,7,7,7,1,7,images/flickr_cat_000010.jpg,images/flickr_cat_000294.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.392295,0,8,8,8,1,8,images/flickr_cat_000012.jpg,images/flickr_cat_000295.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.11685,0,9,9,9,1,9,images/flickr_cat_000013.jpg,images/flickr_cat_000296.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.89663,0,10,10,10,1,10,images/flickr_cat_000014.jpg,images/flickr_cat_000297.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.29657,0,11,11,11,1,11,images/flickr_cat_000015.jpg,images/flickr_cat_000298.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.394835,0,12,12,12,1,12,images/flickr_cat_000017.jpg,images/flickr_cat_000299.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.14244,0,13,13,13,1,13,images/flickr_cat_000018.jpg,images/flickr_cat_000300.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,1.061535,0,14,14,14,1,14,images/flickr_cat_000019.jpg,images/flickr_cat_000301.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,0.74315,0,15,15,15,1,15,images/flickr_cat_000020.jpg,images/flickr_cat_000302.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,0.924465,0,16,16,16,1,16,images/flickr_cat_000021.jpg,images/flickr_cat_000303.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.361925,0,17,17,17,1,17,images/flickr_cat_000022.jpg,images/flickr_cat_000304.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,0.827035,0,18,18,18,1,18,images/flickr_cat_000023.jpg,images/flickr_cat_000305.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,0.968385,0,19,19,19,1,19,images/flickr_cat_000024.jpg,images/flickr_cat_000306.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,p,0.6732,0,20,20,20,1,20,images/flickr_cat_000025.jpg,images/flickr_cat_000307.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,1.291375,0,21,21,21,1,21,images/flickr_cat_000026.jpg,images/flickr_cat_000308.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,0.906955,0,22,22,22,1,22,images/flickr_cat_000027.jpg,images/flickr_cat_000309.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
,,,,,,q,0.820395,0,23,23,23,1,23,images/flickr_cat_000028.jpg,images/flickr_cat_000310.jpg,bx,001,2021-06-03_16h01.29.185,Cat face experiment_0-249,2021.1.4,MacIntel,60.0024001
