key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.7849,space,0.3579,space,0.5019,p,1.1856,0,0,0,0,1,0,images/flickr_dog_001117.jpg,images/pixabay_dog_000208.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,1.1255,0,1,1,1,1,1,images/flickr_dog_001118.jpg,images/pixabay_dog_000209.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,3.0941,0,2,2,2,1,2,images/flickr_dog_001119.jpg,images/pixabay_dog_000210.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,1.337,0,3,3,3,1,3,images/flickr_dog_001121.jpg,images/pixabay_dog_000211.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,1.8177,0,4,4,4,1,4,images/flickr_dog_001123.jpg,images/pixabay_dog_000212.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,1.3105,0,5,5,5,1,5,images/flickr_dog_001124.jpg,images/pixabay_dog_000213.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,0.7084,0,6,6,6,1,6,images/flickr_dog_001125.jpg,images/pixabay_dog_000214.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,2.3385,0,7,7,7,1,7,images/flickr_dog_001126.jpg,images/pixabay_dog_000215.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,1.2553,0,8,8,8,1,8,images/flickr_dog_001127.jpg,images/pixabay_dog_000216.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,0.9246,0,9,9,9,1,9,images/flickr_dog_001128.jpg,images/pixabay_dog_000217.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,0.7705,0,10,10,10,1,10,images/flickr_dog_001129.jpg,images/pixabay_dog_000218.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,2.9013,0,11,11,11,1,11,images/flickr_dog_001130.jpg,images/pixabay_dog_000219.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,0.825,0,12,12,12,1,12,images/flickr_dog_001131.jpg,images/pixabay_dog_000220.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,1.0028,0,13,13,13,1,13,images/flickr_dog_001132.jpg,images/pixabay_dog_000221.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,0.9871,0,14,14,14,1,14,images/flickr_dog_001133.jpg,images/pixabay_dog_000222.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,0.8604,0,15,15,15,1,15,images/flickr_dog_001134.jpg,images/pixabay_dog_000223.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,2.2766,0,16,16,16,1,16,images/flickr_dog_001135.jpg,images/pixabay_dog_000224.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,1.0213,0,17,17,17,1,17,images/flickr_dog_001136.jpg,images/pixabay_dog_000225.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,p,0.756,0,18,18,18,1,18,images/flickr_dog_001137.jpg,images/pixabay_dog_000226.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,0.8877,0,19,19,19,1,19,images/flickr_dog_001138.jpg,images/pixabay_dog_000228.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
,,,,,,q,4.568,0,20,20,20,1,20,images/flickr_dog_001139.jpg,images/pixabay_dog_000229.jpg,Eddy2,001,2021-08-23_15h45.04.865,Dog face experiment_500-749,2021.1.4,Win32,145.4968718
