key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,2.0823,space,0.7294,space,0.6389,q,6.6954,0,0,0,0,1,0,images/flickr_dog_000002.jpg,images/flickr_dog_000279.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,0.8929,0,1,1,1,1,1,images/flickr_dog_000003.jpg,images/flickr_dog_000280.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.3453,0,2,2,2,1,2,images/flickr_dog_000004.jpg,images/flickr_dog_000281.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,1.3051,0,3,3,3,1,3,images/flickr_dog_000005.jpg,images/flickr_dog_000282.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,2.7235,0,4,4,4,1,4,images/flickr_dog_000006.jpg,images/flickr_dog_000283.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,0.9064,0,5,5,5,1,5,images/flickr_dog_000007.jpg,images/flickr_dog_000284.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.7953,0,6,6,6,1,6,images/flickr_dog_000008.jpg,images/flickr_dog_000285.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,2.0613,0,7,7,7,1,7,images/flickr_dog_000009.jpg,images/flickr_dog_000286.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,5.0131,0,8,8,8,1,8,images/flickr_dog_000010.jpg,images/flickr_dog_000287.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,1.7478,0,9,9,9,1,9,images/flickr_dog_000011.jpg,images/flickr_dog_000288.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.3072,0,10,10,10,1,10,images/flickr_dog_000012.jpg,images/flickr_dog_000289.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,3.0263,0,11,11,11,1,11,images/flickr_dog_000013.jpg,images/flickr_dog_000290.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.5116,0,12,12,12,1,12,images/flickr_dog_000014.jpg,images/flickr_dog_000291.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,2.0022,0,13,13,13,1,13,images/flickr_dog_000015.jpg,images/flickr_dog_000292.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,2.4803,0,14,14,14,1,14,images/flickr_dog_000016.jpg,images/flickr_dog_000293.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,2.1873,0,15,15,15,1,15,images/flickr_dog_000017.jpg,images/flickr_dog_000294.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,2.6468,0,16,16,16,1,16,images/flickr_dog_000018.jpg,images/flickr_dog_000295.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.6232,0,17,17,17,1,17,images/flickr_dog_000019.jpg,images/flickr_dog_000296.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,2.2367,0,18,18,18,1,18,images/flickr_dog_000020.jpg,images/flickr_dog_000297.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,3.3369,0,19,19,19,1,19,images/flickr_dog_000021.jpg,images/flickr_dog_000299.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.7504,0,20,20,20,1,20,images/flickr_dog_000022.jpg,images/flickr_dog_000300.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.4239,0,21,21,21,1,21,images/flickr_dog_000023.jpg,images/flickr_dog_000301.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,1.2095,0,22,22,22,1,22,images/flickr_dog_000024.jpg,images/flickr_dog_000302.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.6444,0,23,23,23,1,23,images/flickr_dog_000025.jpg,images/flickr_dog_000303.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.8661,0,24,24,24,1,24,images/flickr_dog_000026.jpg,images/flickr_dog_000304.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,1.9745,0,25,25,25,1,25,images/flickr_dog_000027.jpg,images/flickr_dog_000305.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.1252,0,26,26,26,1,26,images/flickr_dog_000028.jpg,images/flickr_dog_000306.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,2.4006,0,27,27,27,1,27,images/flickr_dog_000029.jpg,images/flickr_dog_000307.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,1.424,0,28,28,28,1,28,images/flickr_dog_000030.jpg,images/flickr_dog_000308.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.0361,0,29,29,29,1,29,images/flickr_dog_000031.jpg,images/flickr_dog_000309.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,p,1.5527,0,30,30,30,1,30,images/flickr_dog_000032.jpg,images/flickr_dog_000310.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,5.6725,0,31,31,31,1,31,images/flickr_dog_000033.jpg,images/flickr_dog_000311.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
,,,,,,q,1.5757,0,32,32,32,1,32,images/flickr_dog_000034.jpg,images/flickr_dog_000312.jpg,Eddy,001,2021-08-03_16h50.57.512,Dog face experiment_0-249,2021.1.4,Win32,145.0957632
