key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,4.7513,space,9.8602,right,16.9482,p,3.8829,0,0,0,0,1,0,images/flickr_dog_000002.jpg,images/flickr_dog_000279.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,4.4072,0,1,1,1,1,1,images/flickr_dog_000003.jpg,images/flickr_dog_000280.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,1.7716,0,2,2,2,1,2,images/flickr_dog_000004.jpg,images/flickr_dog_000281.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,2.1537,0,3,3,3,1,3,images/flickr_dog_000005.jpg,images/flickr_dog_000282.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,2.1749,0,4,4,4,1,4,images/flickr_dog_000006.jpg,images/flickr_dog_000283.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,2.0357,0,5,5,5,1,5,images/flickr_dog_000007.jpg,images/flickr_dog_000284.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,2.2748,0,6,6,6,1,6,images/flickr_dog_000008.jpg,images/flickr_dog_000285.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,1.5211,0,7,7,7,1,7,images/flickr_dog_000009.jpg,images/flickr_dog_000286.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,1.8105,0,8,8,8,1,8,images/flickr_dog_000010.jpg,images/flickr_dog_000287.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,1.5779,0,9,9,9,1,9,images/flickr_dog_000011.jpg,images/flickr_dog_000288.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,1.4209,0,10,10,10,1,10,images/flickr_dog_000012.jpg,images/flickr_dog_000289.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,1.7446,0,11,11,11,1,11,images/flickr_dog_000013.jpg,images/flickr_dog_000290.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,1.2882,0,12,12,12,1,12,images/flickr_dog_000014.jpg,images/flickr_dog_000291.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,1.4555,0,13,13,13,1,13,images/flickr_dog_000015.jpg,images/flickr_dog_000292.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,1.2378,0,14,14,14,1,14,images/flickr_dog_000016.jpg,images/flickr_dog_000293.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,1.0271,0,15,15,15,1,15,images/flickr_dog_000017.jpg,images/flickr_dog_000294.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,q,2.2596,0,16,16,16,1,16,images/flickr_dog_000018.jpg,images/flickr_dog_000295.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,1.1785,0,17,17,17,1,17,images/flickr_dog_000019.jpg,images/flickr_dog_000296.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,2.0917,0,18,18,18,1,18,images/flickr_dog_000020.jpg,images/flickr_dog_000297.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
,,,,,,p,2.4891,0,19,19,19,1,19,images/flickr_dog_000021.jpg,images/flickr_dog_000299.jpg,Yun-Jen Tsai,001,2021-08-03_20h10.27.991,Dog face experiment_0-249,2021.1.4,Win32,59.95563283
